speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hpg001,p01_001,m,sil,670.0445568986261,1695.142171704669,L2,IH,0,1.75,1.75
hpg001,p01_001,m,eh,426.7176911787275,1541.8094399650272,L2,IH,1.88,1.91,0.030000000000000027
hpg001,p01_001,m,aa,580.0227671980337,1228.1817141340446,L2,IH,2.04,2.07,0.029999999999999805
hpg001,p01_001,m,uw,396.5862516665753,1436.7984451261145,L2,IH,2.29,2.35,0.06000000000000005
hpg001,p01_001,m,ay,647.6033898864163,1321.120648433911,L2,IH,2.51,2.69,0.18000000000000016
hpg001,p01_001,m,ax,464.99851091191624,1253.9036470361812,L2,IH,2.89,2.97,0.08000000000000007
hpg001,p01_001,m,ih,442.1878876116855,2073.070169574461,L2,IH,3.1,3.22,0.1200000000000001
hpg001,p01_001,m,eh,392.0799796586618,1280.658010527924,L2,IH,3.43,3.48,0.04999999999999982
hpg001,p01_001,m,aa,348.44802516913614,977.8822553883592,L2,IH,3.61,3.64,0.03000000000000025
hpg001,p01_001,m,ax,399.36740407692423,1601.0370740669382,L2,IH,3.67,3.87,0.20000000000000018
hpg001,p01_001,m,ih,334.2975254532943,2086.7032830190515,L2,IH,4.05,4.16,0.11000000000000032
hpg001,p01_001,m,eh,388.17157061802516,1703.5447552225066,L2,IH,4.34,4.39,0.04999999999999982
hpg001,p01_001,m,ax,375.8666112390685,2018.688910219463,L2,IH,4.53,4.57,0.040000000000000036
hpg001,p01_001,m,ax,320.0941804619799,1882.7397718082811,L2,IH,4.75,4.81,0.05999999999999961
hpg001,p01_001,m,sil,526.5410200709885,1689.1540930694837,L2,IH,5.08,14.9799996,9.8999996
hpg001,p01_002,m,sil,586.6922644967497,1476.5250747772889,L2,IH,0,1.41,1.41
hpg001,p01_002,m,ae,479.1012796793566,1774.404607536628,L2,IH,1.54,1.62,0.08000000000000007
hpg001,p01_002,m,ax,393.6375701734141,2069.4113471124306,L2,IH,1.65,1.77,0.1200000000000001
hpg001,p01_002,m,aa,599.4359010102415,1069.9469199806117,L2,IH,2.12,2.33,0.20999999999999996
hpg001,p01_002,m,ax,460.5506442821396,1236.5428713764625,L2,IH,2.52,2.76,0.23999999999999977
hpg001,p01_002,m,ih,402.598269131461,1827.537691385353,L2,IH,2.98,3.03,0.04999999999999982
hpg001,p01_002,m,ax,631.4064656609519,1253.0489468391888,L2,IH,3.26,3.37,0.11000000000000032
hpg001,p01_002,m,eh,456.6195076128544,1709.916957199169,L2,IH,3.72,3.76,0.03999999999999959
hpg001,p01_002,m,ax,376.13069356706177,1516.5406956180952,L2,IH,3.88,3.94,0.06000000000000005
hpg001,p01_002,m,sil,697.2889908243981,1744.811131127918,L2,IH,4.35,14.9800001,10.6300001
hpg001,p01_003,m,sil,638.1819029017222,1458.5883273764662,L2,IH,0,1.33,1.33
hpg001,p01_003,m,uw,388.9657900149292,851.5756251026451,L2,IH,1.45,1.76,0.31000000000000005
hpg001,p01_003,m,ih,374.5315276993439,1727.082101992699,L2,IH,1.9,1.99,0.09000000000000008
hpg001,p01_003,m,eh,571.126416129905,1545.2763283069055,L2,IH,2.25,2.33,0.08000000000000007
hpg001,p01_003,m,uw,290.02146311355807,1333.0607356414293,L2,IH,2.6,2.91,0.31000000000000005
hpg001,p01_003,m,sil,799.3974313264667,1817.901530542515,L2,IH,2.91,14.9799997,12.0699997
hpg001,p01_004,m,sil,950.6399243354997,1960.7468215749898,L2,IH,0,1.11,1.11
hpg001,p01_004,m,eh,456.10005952963627,1851.1471225168748,L2,IH,1.67,1.82,0.15000000000000013
hpg001,p01_004,m,ae,507.07384256536704,1721.7863932646956,L2,IH,2.12,2.15,0.029999999999999805
hpg001,p01_004,m,ay,639.1102116922195,1472.751932074318,L2,IH,2.19,2.34,0.1499999999999999
hpg001,p01_004,m,ow,424.33347708223664,897.3127642354008,L2,IH,2.47,2.59,0.11999999999999966
hpg001,p01_004,m,aw,451.8727283844024,905.3976449298586,L2,IH,2.7,3.14,0.43999999999999995
hpg001,p01_004,m,sil,924.5899910280652,1908.8509476860454,L2,IH,3.14,14.9800002,11.840000199999999
hpg001,p01_005,m,sil,653.4358407158024,1636.4169210253626,L2,IH,0,1.22,1.22
hpg001,p01_005,m,iy,373.0002866144585,2326.3214522143976,L2,IH,1.43,1.61,0.18000000000000016
hpg001,p01_005,m,ay,672.2451629698538,1236.0350439031554,L2,IH,2.32,2.41,0.0900000000000003
hpg001,p01_005,m,iy,383.9767684565036,2050.951653771297,L2,IH,2.61,2.69,0.08000000000000007
hpg001,p01_005,m,ax,561.0698790761187,1524.3059887740037,L2,IH,2.69,2.73,0.040000000000000036
hpg001,p01_005,m,eh,523.4851011871539,1554.336860795595,L2,IH,2.82,2.91,0.0900000000000003
hpg001,p01_005,m,sil,558.5801538021079,1608.844546501875,L2,IH,3.38,14.9800004,11.600000399999999
hpg001,p01_006,m,sil,574.8729207572162,1439.264088385397,L2,IH,0,1.6,1.6
