speakercode,sentencecode,gender,label,F1,F2,Lang,level,tStart,tEnd,dur
hen001,p01_001,m,sil,370.91804522534284,1431.8185169575634,L1,null,0,3.77,3.77
hen001,p01_001,m,eh,442.5113873258949,1533.4985911700946,L1,null,3.84,3.87,0.03000000000000025
hen001,p01_001,m,aa,490.1596180713089,1180.0644826914715,L1,null,3.9,3.93,0.03000000000000025
hen001,p01_001,m,uw,275.03854309701757,1461.3258550187763,L1,null,4.18,4.21,0.03000000000000025
hen001,p01_001,m,ay,527.2947160026487,1384.0812693194025,L1,null,4.35,4.46,0.11000000000000032
hen001,p01_001,m,ax,412.62801138774125,1381.9544322615595,L1,null,4.63,4.66,0.03000000000000025
hen001,p01_001,m,ih,405.48719313528034,1838.6153161219165,L1,null,4.78,4.82,0.040000000000000036
hen001,p01_001,m,eh,1352.8737344795295,1829.484660026748,L1,null,4.95,4.98,0.03000000000000025
hen001,p01_001,m,aa,505.7863150992869,1244.2562554636472,L1,null,5.01,5.15,0.14000000000000057
hen001,p01_001,m,ax,441.11250868530004,1706.9067085609663,L1,null,5.21,5.27,0.05999999999999961
hen001,p01_001,m,ih,319.13864260864875,1643.5385059537862,L1,null,5.36,5.39,0.02999999999999936
hen001,p01_001,m,eh,574.8922952088012,1434.0958252383418,L1,null,5.58,5.62,0.040000000000000036
hen001,p01_001,m,ax,412.17351994343295,1531.3265812651957,L1,null,5.77,5.8,0.03000000000000025
hen001,p01_001,m,ax,375.8410409784465,1435.2003100130707,L1,null,5.98,6.07,0.08999999999999986
hen001,p01_001,m,sil,620.6644733519078,1777.0194047446355,L1,null,6.26,7.55,1.29
hen001,p01_002,m,sil,883.8290062481863,1956.3212596109508,L1,null,0,1.34,1.34
hen001,p01_002,m,ae,530.9351828875223,1611.2129863649636,L1,null,1.47,1.55,0.08000000000000007
hen001,p01_002,m,ax,485.79829467609596,1254.4740834217268,L1,null,1.6,1.63,0.029999999999999805
hen001,p01_002,m,aa,606.2191339292735,1001.5294210611926,L1,null,1.83,1.89,0.05999999999999983
